#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
16,Poland,"3,091,713","+15,190","77,733 ",+186,"2,736,292","+6,805","277,688",798,"81,811","2,057","22,561,469","597,009","37,790,856 ",Europe,124862,402,5,"7,348",,
17,Ukraine,"3,058,014","+25,063","71,635 ",+793,"2,504,236","+11,817","482,143",177,"70,493","1,651","14,801,967","341,215","43,380,231 ",Europe,146063,578,18,"11,114",,
18,South Africa,"2,923,393",,"89,295 ",,"2,816,018",,"18,080",546,"48,470","1,481","18,670,029","309,552","60,313,137 ",Africa,216753,,,300,,
19,Philippines,"2,800,621","+2,656","44,239 ",+154,"2,721,516","+5,130","34,866","1,292","25,109",397,"23,259,723","208,532","111,540,048 ",Asia,"402,5215",24,1,313,,
20,Malaysia,"2,501,966","+4,701","29,256 ",+54,"2,407,205","+5,382","65,505",544,"75,994",889,"35,014,696","1,063,532","32,923,016 ",Asia,"131,1251",143,2,"1,990",,
21,Peru,"2,205,486",,"200,373 ",,N/A,N/A,N/A,877,"65,662","5,965","19,253,562","573,215","33,588,713 ",South America,151682,,,"8,469",,
22,Netherlands,"2,189,661","+11,954","18,553 ",+36,"1,997,654","+2,726","173,454",283,"127,411","1,080","18,498,260","1,076,365","17,185,855 ",Europe,89261,696,2,"10,093",,
23,Iraq,"2,061,939",+717,"23,319 ",+22,"2,013,457","+1,665","25,163",183,"49,765",563,"15,922,665","384,296","41,433,287 ",Asia,"201,7773",17,0.5,607,,
24,Thailand,"1,960,039","+8,467","19,611 ",+69,"1,843,018","+8,288","97,410","2,225","27,986",280,"14,913,135","212,937","70,035,498 ",Asia,"363,5715",121,1.0,"1,391",,
25,Czechia,"1,810,395","+9,208","30,985 ",+26,"1,685,359",+171,"94,051",356,"168,633","2,886","41,130,913","3,831,229","10,735,698 ",Europe,63460,858,2,"8,761",,
26,Canada,"1,728,954","+1,268","29,136 ",+4,"1,675,572",+443,"24,246",570,"45,276",763,"46,679,607","1,222,400","38,186,864 ",North America,"221,3111",33,0.1,635,,
27,Japan,"1,723,799",+225,"18,306 ",+10,"1,702,009",+343,"3,484",100,"13,686",145,"26,748,847","212,367","125,955,597 ",Asia,"736,8815",2,0.08,28,,
28,Chile,"1,706,622","+2,796","37,841 ",+27,"1,621,572",+922,"47,209",517,"88,258","1,957","23,925,466","1,237,307","19,336,724 ",South America,115111,145,1,"2,441",,
29,Romania,"1,701,589","+8,057","50,482 ",+390,"1,483,798","+14,495","167,309","1,867","89,252","2,648","15,090,033","791,504","19,065,008 ",Europe,113781,423,20,"8,776",,
30,Bangladesh,"1,570,835",+154,"27,891 ",+1,"1,534,635",+157,"8,309","1,380","9,412",167,"10,458,366","62,665","166,894,056 ",Asia,"1065,98416",0.9,0.01,50,,
31,Belgium,"1,414,463","+10,915","26,131 ",+26,"1,227,504",,"160,828",384,"121,336","2,242","22,225,317","1,906,535","11,657,437 ",Europe,84461,936,2,"13,796",,
32,Israel,"1,333,590",+327,"8,114 ",+2,"1,319,029",+459,"6,447",177,"142,997",870,"29,866,348","3,202,482","9,326,000 ",Asia,"71,1490",35,0.2,691,,
33,Pakistan,"1,276,240",+567,"28,518 ",+11,"1,224,870",+445,"22,852","1,236","5,631",126,"21,057,966","92,910","226,648,514 ",Asia,"1787,94811",3,0.05,101,,
34,Serbia,"1,179,137","+4,804","10,336 ",+65,"1,052,689","+7,596","116,112",272,"135,689","1,189","6,442,010","741,311","8,690,022 ",Europe,78411,553,7,"13,362",,
35,Sweden,"1,177,094",,"15,024 ",,"1,142,047",,"20,023",34,"115,584","1,475","13,277,086","1,303,731","10,183,916 ",Europe,96781,,,"1,966",,
36,Portugal,"1,096,534","+1,197","18,198 ",+5,"1,045,297","+1,020","33,039",62,"107,962","1,792","20,033,212","1,972,411","10,156,713 ",Europe,95581,118,0.5,"3,253",,
37,Vietnam,"961,038","+7,491","22,470 ",+58,"839,101","+1,754","99,467",,"9,755",228,"60,535,102","614,473","98,515,530 ",Asia,"1034,3842",76,0.6,"1,010",,
38,Cuba,"955,498",+550,"8,261 ",+4,"944,413",+836,"2,824",73,"84,428",730,"10,646,528","940,729","11,317,317 ",North America,"121,3701",49,0.4,250,,
39,Morocco,"947,307",+168,"14,706 ",+5,"928,445",+223,"4,156",347,"25,263",392,"10,174,388","271,329","37,498,285 ",Africa,"402,5504",4,0.1,111,,
40,Kazakhstan,"947,250","+1,328","12,225 ",+21,"899,028","+2,447","35,997",528,"49,650",641,"11,575,012","606,707","19,078,422 ",Asia,"201,5612",70,1,"1,887",,
41,Hungary,"892,164",,"31,184 ",,"804,720",,"56,260",366,"92,670","3,239","7,531,508","782,303","9,627,353 ",Europe,113091,,,"5,844",,
