#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
44,Nepal,"809,056",+522,"11,348 ",+3,"787,507",+877,"10,201",,"27,129",381,"4,368,512","146,481","29,823,044 ",Asia,"372,6287",18,0.1,342,,
45,Austria,"798,606","+3,624","11,251 ",+6,"756,121","+2,049","31,234",219,"88,012","1,240","94,941,975","10,463,312","9,073,798 ",Europe,118060,399,0.7,"3,442",,
46,UAE,"739,284",+94,"2,130 ",+1,"733,250",+123,"3,904",,"73,582",212,"91,274,022","9,084,693","10,047,012 ",Asia,"144,7170",9,0.10,389,,
47,Greece,"716,358","+2,075","15,628 ",+30,"666,796","+3,022","33,934",365,"69,172","1,509","24,661,319","2,381,306","10,356,216 ",Europe,146630,200,3,"3,277",,
48,Tunisia,"711,693",+172,"25,149 ",+10,"685,263",+179,"1,281",135,"59,403","2,099","3,043,299","254,016","11,980,727 ",Africa,174764,14,0.8,107,,
49,Georgia,"692,240","+3,436","9,742 ",+43,"630,961","+4,483","51,537",,"173,968","2,448","9,921,120","2,493,297","3,979,117 ",Asia,64080,864,11,"12,952",,
50,Lebanon,"637,819",+507,"8,453 ",+4,"612,103",,"17,263",200,"94,000","1,246","4,780,275","704,503","6,785,320 ",Asia,118031,75,0.6,"2,544",,
51,Guatemala,"595,008",+343,"14,700 ",+45,"572,203",+919,"8,105",5,"32,426",801,"2,836,664","154,591","18,349,503 ",North America,"311,2486",19,2,442,,
52,Belarus,"586,234","+2,044","4,515 ",+16,"558,850","+2,354","22,869",,"62,067",478,"9,377,452","992,823","9,445,244 ",Europe,"162,0921",216,2,"2,421",,
53,Bulgaria,"569,443","+1,370","23,073 ",+40,"467,058",+536,"79,312",600,"82,771","3,354","5,276,260","766,925","6,879,763 ",Europe,122981,199,6,"11,528",,
54,Costa Rica,"555,970",,"6,946 ",,"484,431",,"64,593",316,"107,848","1,347","2,524,241","489,659","5,155,105 ",North America,97422,,,"12,530",,
55,Saudi Arabia,"548,252",+47,"8,778 ",+2,"537,282",+36,"2,192",79,"15,433",247,"30,055,828","846,069","35,524,086 ",Asia,"654,0471",1,0.06,62,,
