#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
12,Colombia,"5,055,253","+2,520","128,236 ",+48,"4,895,931","+2,511","31,086",342,"97,897","2,483","27,839,945","539,134","51,638,228 ",South America,104032,49,0.9,602,,
13,Italy,"4,954,585","+12,448","133,415 ",+85,"4,661,853","+7,558","159,317",573,"82,114","2,211","116,019,095","1,922,823","60,337,881 ",Europe,124521,206,1,"2,640",,
14,Indonesia,"4,254,443",+451,"143,766 ",+13,"4,102,700",+377,"7,977",,"15,328",518,"52,840,948","190,382","277,551,902 ",Asia,"651,9315",2,0.05,29,,
15,Mexico,"3,867,976","+3,698","292,850 ",+326,"3,229,463","+2,436","345,663","4,798","29,567","2,239","11,734,369","89,699","130,819,408 ",North America,3444711,28,2,"2,642",,
16,Poland,"3,406,129","+28,380","81,688 ",+460,"2,919,578","+6,258","404,863","1,613","90,136","2,162","23,788,624","629,515","37,788,825 ",Europe,114632,751,12,"10,714",,
17,Ukraine,"3,367,461","+14,325","82,913 ",+595,"2,825,641","+29,044","458,907",177,"77,650","1,912","15,648,456","360,835","43,367,377 ",Europe,135233,330,14,"10,582",,
18,South Africa,"2,950,035","+1,275","89,657 ",+22,"2,839,768","+1,244","20,610",546,"48,882","1,486","19,279,975","319,470","60,349,910 ",Africa,206733,21,0.4,342,,
19,Philippines,"2,828,660",+890,"47,682 ",+200,"2,763,114","+1,710","17,864","1,170","25,344",427,"23,984,981","214,896","111,611,785 ",Asia,"392,3415",8,2,160,,
20,Malaysia,"2,602,835","+5,755","30,147 ",+37,"2,503,427","+5,082","69,261",506,"79,009",915,"37,051,546","1,124,703","32,943,410 ",Asia,"131,0931",175,1,"2,102",,
21,Netherlands,"2,511,953","+23,709","19,098 ",+50,"2,068,811","+5,243","424,044",512,"146,148","1,111","19,205,114","1,117,374","17,187,715 ",Europe,79001,"1,379",3,"24,671",,
22,Peru,"2,226,656",,"200,931 ",,N/A,N/A,N/A,903,"66,247","5,978","20,008,200","595,282","33,611,307 ",South America,151672,,,"9,076",,
23,Thailand,"2,081,992","+5,857","20,542 ",+55,"1,979,871","+7,318","81,579","1,595","29,724",293,"14,913,135","212,911","70,044,088 ",Asia,"343,4105",84,0.8,"1,165",,
24,Iraq,"2,076,922",+776,"23,725 ",+13,"2,037,007","+1,377","16,190",114,"50,073",572,"16,234,312","391,398","41,477,784 ",Asia,"201,7483",19,0.3,390,,
25,Czechia,"2,044,018","+25,864","32,408 ",+48,"1,785,831",+336,"225,779",799,"190,377","3,018","42,984,363","4,003,509","10,736,672 ",Europe,53310,"2,409",4,"21,029",,
26,Canada,"1,773,803","+1,484","29,563 ",+8,"1,720,294","+1,178","23,946",480,"46,431",774,"48,215,038","1,262,071","38,203,121 ",North America,"221,2921",39,0.2,627,,
27,Romania,"1,769,783","+2,796","55,617 ",+195,"1,658,933","+5,754","55,233","1,380","92,859","2,918","15,831,106","830,648","19,058,731 ",Europe,113431,147,10,"2,898",,
28,Chile,"1,749,099","+2,034","38,175 ",+14,"1,645,290","+1,611","65,634",654,"90,417","1,973","25,180,549","1,301,671","19,344,785 ",South America,115071,105,0.7,"3,393",,
29,Japan,"1,726,624",+113,"18,351 ",+2,"1,707,182",+185,"1,091",58,"13,710",146,"27,579,308","218,994","125,936,639 ",Asia,"736,8635",0.9,0.02,9,,
30,Belgium,"1,635,675","+12,115","26,705 ",+36,"1,290,943","+6,931","318,027",654,"140,282","2,290","23,861,944","2,046,494","11,659,912 ",Europe,74370,"1,039",3,"27,275",,
31,Bangladesh,"1,574,948",+312,"27,961 ",+3,"1,539,193",+338,"7,794","1,377","9,432",167,"10,782,981","64,579","166,974,687 ",Asia,"1065,97215",2,0.02,47,,
32,Israel,"1,341,305",,"8,177 ",,"1,327,046",,"6,082",128,"143,824",877,"31,188,024","3,344,202","9,326,000 ",Asia,"71,1410",,,652,,
33,Pakistan,"1,282,860",+350,"28,677 ",+9,"1,239,995","+1,015","14,188","1,007","5,655",126,"21,755,675","95,899","226,859,803 ",Asia,"1777,91110",2,0.04,63,,
34,Serbia,"1,241,492","+2,631","11,385 ",+50,"1,167,802","+4,750","62,305",205,"142,892","1,310","6,727,663","774,336","8,688,299 ",Europe,77631,303,6,"7,171",,
35,Sweden,"1,194,636",,"15,110 ",,"1,153,131",+522,"26,395",22,"117,271","1,483","13,586,095","1,333,669","10,187,008 ",Europe,96741,,,"2,591",,
36,Vietnam,"1,155,778","+11,811","24,243 ",+125,"937,261","+25,951","194,274","5,533","11,727",246,"66,686,993","676,623","98,558,559 ",Asia,"854,0651",120,1,"1,971",,
37,Portugal,"1,130,091","+3,773","18,370 ",+17,"1,063,689","+1,494","48,032",105,"111,281","1,809","20,844,492","2,052,581","10,155,257 ",Europe,95530,372,2,"4,730",,
38,Austria,"1,095,297","+15,365","12,180 ",+66,"931,174","+12,808","151,943",578,"120,654","1,342","107,984,174","11,895,148","9,078,002 ",Europe,87450,"1,693",7,"16,737",,
39,Hungary,"1,044,852","+12,637","33,519 ",+176,"856,330","+5,016","155,003",664,"108,543","3,482","8,196,724","851,506","9,626,152 ",Europe,92871,"1,313",18,"16,102",,
40,Kazakhstan,"966,423",+905,"12,603 ",+26,"929,120","+1,502","24,700",528,"50,626",660,"11,575,012","606,356","19,089,465 ",Asia,"201,5152",47,1,"1,294",,
